iter	Passed	Remaining
0	147	147778
1	149	74452
2	150	49949
3	151	37680
4	152	30330
5	153	25431
6	154	21924
7	155	19301
8	156	17263
9	157	15628
10	158	14294
11	160	13181
12	161	12245
13	162	11436
14	163	10732
15	164	10114
16	165	9576
17	166	9092
18	167	8660
19	168	8270
20	169	7919
21	171	7607
22	172	7315
23	173	7050
24	175	6830
25	176	6611
26	177	6413
27	179	6231
28	180	6052
29	181	5883
30	183	5721
31	184	5566
32	185	5425
33	186	5291
34	187	5165
35	188	5048
36	189	4941
37	191	4837
38	192	4738
39	193	4644
40	194	4555
41	196	4470
42	197	4386
43	198	4304
44	199	4226
45	200	4153
46	201	4085
47	202	4019
48	203	3956
49	204	3893
50	205	3832
51	207	3776
52	208	3719
53	209	3666
54	210	3613
55	211	3564
56	212	3517
57	213	3469
58	214	3424
59	215	3383
60	217	3341
61	218	3300
62	219	3261
63	220	3222
64	221	3186
65	222	3150
66	223	3114
67	224	3080
68	225	3047
69	226	3013
70	228	2983
71	229	2954
72	230	2926
73	231	2899
74	232	2871
75	233	2844
76	235	2819
77	236	2795
78	237	2770
79	238	2745
80	239	2717
81	240	2691
82	241	2668
83	242	2645
84	243	2622
85	244	2600
86	245	2579
87	246	2559
88	248	2539
89	249	2518
90	250	2499
91	251	2480
92	252	2462
93	253	2444
94	254	2422
95	255	2405
96	256	2387
97	257	2369
98	258	2353
99	259	2336
100	260	2320
101	261	2302
102	262	2287
103	263	2272
104	265	2259
105	266	2244
106	267	2230
107	268	2217
108	269	2204
109	270	2191
110	272	2178
111	273	2166
112	274	2153
113	275	2141
114	276	2129
115	277	2117
116	278	2104
117	279	2092
118	281	2081
119	282	2069
120	283	2057
121	284	2045
122	285	2033
123	286	2022
124	287	2013
125	288	2003
126	289	1991
127	290	1980
128	291	1970
129	293	1961
130	294	1951
131	295	1941
132	296	1930
133	297	1921
134	298	1911
135	299	1902
136	300	1893
137	301	1885
138	302	1876
139	304	1867
140	305	1859
141	306	1851
142	307	1842
143	308	1834
144	309	1826
145	310	1817
146	311	1808
147	312	1800
148	313	1793
149	315	1785
150	315	1775
151	316	1767
152	317	1760
153	319	1752
154	320	1745
155	321	1738
156	322	1731
157	323	1725
158	324	1716
159	325	1709
160	326	1702
161	327	1696
162	329	1689
163	330	1683
164	331	1676
165	332	1669
166	333	1661
167	334	1654
168	335	1647
169	336	1641
170	337	1634
171	338	1627
172	339	1620
173	339	1613
174	340	1607
175	341	1600
176	343	1595
177	344	1588
178	345	1583
179	346	1578
180	347	1573
181	348	1568
182	349	1560
183	351	1557
184	352	1551
185	353	1545
186	354	1539
187	355	1534
188	356	1528
189	357	1524
190	358	1519
191	359	1514
192	360	1508
193	361	1503
194	362	1498
195	363	1492
196	364	1487
197	365	1481
198	366	1476
199	367	1471
200	368	1464
201	369	1458
202	370	1453
203	371	1448
204	372	1443
205	372	1437
206	373	1431
207	374	1426
208	375	1421
209	376	1417
210	377	1412
211	378	1407
212	379	1402
213	380	1397
214	381	1393
215	382	1388
216	383	1383
217	384	1379
218	385	1375
219	386	1370
220	387	1366
221	388	1361
222	389	1357
223	390	1352
224	391	1347
225	392	1343
226	393	1339
227	394	1335
228	395	1331
229	396	1327
230	397	1323
231	398	1319
232	399	1315
233	400	1311
234	401	1307
235	402	1303
236	403	1299
237	404	1295
238	405	1291
239	406	1287
240	407	1283
241	408	1279
242	409	1275
243	410	1271
244	411	1267
245	412	1263
246	413	1260
247	414	1257
248	415	1254
249	417	1251
250	418	1247
251	419	1244
252	420	1241
253	421	1238
254	422	1235
255	423	1231
256	424	1228
257	425	1224
258	427	1222
259	428	1218
260	429	1215
261	430	1211
262	431	1208
263	432	1205
264	433	1201
265	434	1198
266	435	1195
